,Date,Time,Individual,DOB,Sex,Behavior,Comment,ID2,Data,Location,Alone,Patrol,Drum.Hoot.,Review,Delete,Has.Location.,,Latitude,Longitude
1,10/14/14,15:49:31,Abrams,12/1/99,Male,Sniff,,,Focal,,NA,NA,NA,NA,NA,0,,,
2,10/16/14,16:56:16,Wilson,12/1/99,Male,Sniff,Ground,,Focal,,NA,NA,NA,NA,NA,0,,,
3,10/16/14,16:56:30,Wilson,12/1/99,Male,Sniff,Was traveling with party but now they are out of sight,,Focal,,1,NA,NA,NA,NA,0,,,
4,10/17/14,12:44:05,Mitchell,1/1/99,Male,Sniff,Mulligan only one within 50 m he walked ahead,,Focal,,0,NA,NA,NA,NA,0,,,
5,10/18/14,11:55:38,Buckner,1/1/00,Male,Sniff,Alone,,Focal,,1,NA,NA,NA,NA,0,,,
6,10/26/14,10:16:17,Porkpie,1/1/94,Male,Sniff,Walking with party,,Focal,,0,NA,NA,NA,NA,0,,,
7,10/26/14,11:39:16 AM,Porkpie,1/1/94,Male,Sniff,Ground; traveling alone; had just buttress drummed and pant hooted,,AdLib,,1,NA,1,NA,NA,0,,,
8,10/26/14,13:25:14,Mitchell,1/1/99,Male,Sniff,Mulligan 15m away,,Focal,,0,NA,NA,NA,NA,0,,,
9,10/28/14,7:27:44,Abrams,12/1/99,Male,Sniff,Alone,,Focal,,1,NA,NA,NA,NA,0,,,
10,10/31/14,8:54:12,Wes,6/1/97,Male,Sniff,Out if mucuso traveling with Richmond and hutcherson around 20m away,,Focal,,0,NA,NA,NA,NA,0,,,
11,10/31/14,10:43:27 AM,Wes,6/1/97,Male,Sniff,Alone walking south,,AdLib,,1,NA,NA,NA,NA,0,,,
12,10/31/14,11:13:18 AM,Wes,6/1/97,Male,Sniff,Alone,,AdLib,,1,NA,NA,NA,NA,0,,,
13,11/3/14,9:52:24 AM,Marlene,1/1/50,Female,Sniff,Traveling with porkpie ; maybe Smelling fruits in ground,,AdLib,,0,NA,NA,NA,NA,0,,,
14,11/4/14,11:39:24,Wes,6/1/97,Male,Sniff,In party Wayne garrison near,,Focal,,0,NA,NA,NA,NA,0,,,
15,11/4/14,12:05:26 PM,Wes,6/1/97,Male,Sniff,Alone,,AdLib,,1,NA,NA,NA,NA,0,,,
16,11/6/14,11:11:04 AM,Richmond,1/1/87,Male,Sniff,In a large party ; males on the ground ; Kanawa in estrus in the tree above,,AdLib,,0,NA,NA,NA,NA,0,,,
17,11/10/14,15:33:01,Django,1/1/97,Male,Sniff,Walking with miles,,Focal,,0,NA,NA,NA,NA,0,,,
18,11/13/14,5:59:42 PM,Erroll,1/1/02,Male,Sniff,Trunk,,AdLib,,NA,NA,NA,NA,NA,0,,,
19,11/13/14,6:00:04 PM,Lovano,12/1/99,Male,Sniff,Trunk,,AdLib,,NA,NA,NA,NA,NA,0,,,
20,11/23/14,10:29:56 AM,Hicks,1/1/97,Male,Sniff,Ground; traveling with porkpie Wilson and Errol,,AdLib,,0,NA,NA,NA,NA,0,,,
21,11/23/14,10:31:22 AM,Wilson,12/1/99,Male,Sniff,Same spot that hicks smelled; traveling with Errol Wilson and porkpie,,AdLib,,0,NA,NA,NA,NA,0,,,
22,11/23/14,10:37:50 AM,Wilson,12/1/99,Male,Sniff,Near feces,,AdLib,,NA,NA,NA,NA,NA,0,,,
23,11/23/14,10:39:01 AM,Wilson,12/1/99,Male,Sniff,Near feces,,AdLib,,NA,NA,NA,NA,NA,0,,,
24,11/23/14,12:10:06 PM,Erroll,1/1/02,Male,Sniff,Travel alone,,AdLib,,1,NA,NA,NA,NA,0,,,
25,11/29/14,1:06:13 PM,Naidu,3/9/11,Female,Sniff,In proximity to 7+ chimps resting,,AdLib,,0,NA,NA,NA,NA,0,,,
26,11/30/14,5:03:07 PM,Cash,1/1/93,Male,Sniff,Walking alone,,AdLib,,1,NA,NA,NA,NA,0,,,
27,12/8/14,14:40:54,Porkpie,1/1/94,Male,Sniff,Ground; Evans in party but not in sight,,Focal,,0,NA,NA,NA,NA,0,,,
28,12/9/14,14:31:35,Herbie,1/1/94,Male,Sniff,Ground ; garrison and Buckner nearby; then piloerect,,Focal,,0,NA,NA,NA,NA,0,,,
29,12/9/14,2:32:02 PM,Garrison,1/1/77,Male,Sniff,Ground; after herbie ; Buckner and herbie around,,AdLib,,0,NA,NA,NA,NA,0,,,
30,12/12/14,16:52:45,Benny,6/1/00,Male,Sniff,Within 20 of Richmond monk and Pizan,,Focal,,0,NA,NA,NA,NA,0,,,
31,12/17/14,11:00:06,Peterson,1/1/95,Male,Sniff,Alone,,Focal,,1,NA,NA,NA,NA,0,,,
32,12/23/14,2:26:51 PM,Herbie,1/1/94,Male,Sniff,Ground ; travel garrison Peterson Beecher headed south,,AdLib,,0,NA,NA,NA,NA,0,,,
33,12/23/14,2:27:00 PM,Garrison,1/1/77,Male,Sniff,Ground ; traveling with Peterson Beecher herbie heard south,,AdLib,,0,NA,NA,NA,NA,0,,,
34,12/23/14,2:42:20 PM,Beecher,1/1/01,Female,Sniff,Ground ; on same trail (same spot?) garrison and herbie had sniffed earlier,,AdLib,,0,NA,NA,NA,NA,0,,,
35,12/30/14,3:35:09 PM,Mitchell,1/1/99,Male,Sniff,Ground; no one <20m,,AdLib,,NA,NA,NA,NA,NA,0,,,
36,1/2/15,10:49:46 AM,Rollins,1/1/86,Male,Sniff,Traveling with Garett and Peterson,,AdLib,,0,NA,NA,NA,NA,0,,,
37,1/5/15,10:28:03,Benny,6/1/00,Male,Sniff,Near feces ; travel 15 m behind party,,Focal,,0,NA,NA,NA,NA,0,,,
38,1/10/15,16:18:32,Barron,3/1/01,Male,Sniff,Ground; carter had been in front but now out of sight ; travel,,Focal,,NA,NA,NA,NA,NA,0,,,
39,1/13/15,13:12:57,Django,1/1/97,Male,Sniff,Traveling with Mweya and dexter,,Focal,,NA,NA,NA,NA,NA,0,,,
40,1/13/15,1:13:37 PM,Dexter,1/1/85,Male,Sniff,Ground; travel with dj and Mweya; dj sniffed it first,,AdLib,,0,NA,NA,1,NA,0,,,
41,1/19/15,5:36:40 PM,Garrison,1/1/77,Male,Sniff,Ground; on a patrol for monkeys or something,,AdLib,,NA,1,NA,1,NA,0,,,
42,1/19/15,5:37:45 PM,Morton,1/1/84,Male,Sniff,Ground; on a patrol for monkeys or something,,AdLib,,NA,1,NA,1,NA,0,,,
43,1/19/15,6:18:30 PM,Benny,6/1/00,Male,Sniff,Ground : with large party single file west on 6.5 west of t.5,,AdLib,,0,1,NA,1,NA,0,,,
44,1/19/15,6:49:29 PM,Dexter,1/1/85,Male,Sniff,Patrol after hearing. IGE,,AdLib,,0,1,NA,1,NA,0,,,
45,1/19/15,6:49:52 PM,Garrison,1/1/77,Male,Sniff,,,AdLib,,NA,NA,NA,NA,NA,0,,,
46,1/19/15,6:50:32 PM,Morton,1/1/84,Male,Sniff,,,AdLib,,NA,NA,NA,NA,NA,0,,,
47,1/24/15,2:33:47 PM,Rahsaan,1/1/87,Male,Sniff,Ground ; at back of patrol north of z/6.5,,AdLib,,0,1,NA,NA,NA,0,,,
48,1/24/15,2:45:09 PM,Carter,1/1/90,Male,Sniff,Rahsaan and then carter sniffed ground; on patrol north of 6.4 on z,,AdLib,,NA,1,NA,1,NA,0,,,
49,1/24/15,2:51:20 PM,Ornette,1/1/77,Male,Sniff,Ground; with patrol party taking moment to rest,,AdLib,,0,1,NA,NA,NA,0,,,
50,1/24/15,3:01:13 PM,Carter,1/1/90,Male,Sniff,,,AdLib,,NA,NA,NA,NA,NA,0,,,
51,1/24/15,5:36:32 PM,Wayne,1/1/96,Male,Sniff,Ground and trunk of tree,,AdLib,,NA,NA,NA,1,NA,0,,,
52,2/5/15,2:50:27 PM,Ornette,1/1/77,Male,Sniff,Ground; with large party west on -1 near Ellington,,AdLib,,0,NA,NA,1,NA,0,,,
53,2/6/15,5:37:02 PM,Porkpie,1/1/94,Male,Sniff,Ground; Evans monk beryl peewee ; heard other party to south,,AdLib,,0,NA,NA,NA,NA,0,,,
54,2/7/15,12:16:22,Wes,6/1/97,Male,Sniff,In a party traveling alone toward calls,,Focal,,0,NA,1,1,NA,0,,,
55,2/10/15,3:07:52 PM,Mitchell,1/1/99,Male,Sniff,Ground; tracking with southpaw And Hawkins; Atwood around,,AdLib,,0,NA,NA,1,NA,0,,,
56,2/23/15,8:06:31 AM,Garett,1/1/89,Male,Sniff,Ground; travel just with peewee,,AdLib,,0,NA,NA,NA,NA,0,,,
57,2/23/15,8:11:00 AM,Garett,1/1/89,Male,Sniff,Ground; travel just with peewee,,AdLib,,0,NA,NA,NA,NA,0,,,
58,3/7/15,5:16:10 PM,Carter,1/1/90,Male,Sniff,,,AdLib,,NA,NA,NA,NA,NA,0,,,
59,3/8/15,4:20:09 PM,Wes,6/1/97,Male,Sniff,15 min ago ; patrol,,AdLib,,0,1,NA,NA,NA,0,,,
60,3/8/15,4:20:28 PM,Brownface,1/1/66,Male,Sniff,Patrol,,AdLib,,0,1,NA,NA,NA,0,,,
61,3/9/15,14:06:52,Erroll,1/1/02,Male,Sniff,Near dizzy lovano and others travel large party,,Focal,,0,NA,NA,NA,NA,0,,,
62,3/13/15,1:03:11 PM,Benny,6/1/00,Male,Sniff,Ground; within scattered party,,AdLib,,0,NA,NA,NA,NA,0,,,
63,3/13/15,17:59:36,Buckner,1/1/00,Male,Sniff,Ground; alone,,Focal,,1,NA,NA,NA,NA,0,,,
64,3/22/15,13:47:43,Abrams,12/1/99,Male,Sniff,Ground; near feces traveling alone,,Focal,,1,NA,NA,1,NA,0,,,
65,3/26/15,11:42:21,Benny,6/1/00,Male,Sniff,Ground; in party of chimps feeding around m/16,,Focal,,0,NA,NA,NA,NA,0,,,
66,4/29/15,9:44:56 AM,Porkpie,1/1/94,Male,Sniff,"Ground alone; hearing calls around ( was with Barton earlier in am, passed Basie and dj left going north)",,AdLib,"0.494490,30.421278",1,NA,NA,1,NA,1,,0.49449,30.421278
67,4/29/15,10:27:23 AM,Porkpie,1/1/94,Male,Sniff,Looks like urine on dry leaves ; porkpie not in party,,AdLib,"0.493448,30.422255",1,NA,NA,1,NA,1,,0.493448,30.422255
68,5/4/15,4:13:42 PM,Jackson,1/1/91,Male,Sniff,On patrol with 6 others,,AdLib,,0,1,NA,NA,NA,0,,,
69,5/17/15,10:37:18,Wes,6/1/97,Male,Sniff,Ground; in large party by o13,,Focal,,0,NA,NA,NA,NA,0,,,
70,5/17/15,10:37:46,Wes,6/1/97,Male,Sniff,,,Focal,,NA,NA,NA,NA,NA,0,,,
71,5/18/15,2:28:31 PM,Bartok,1/1/73,Male,Sniff,Ground ; on EE between 11 and 12.5 in a party on a monkey patrol (?),,AdLib,,0,1,NA,1,NA,0,,,
72,5/19/15,9:13:53 AM,Mitchell,1/1/99,Male,Sniff,Ground ; Hawkins and southpaw traveling,,AdLib,,0,NA,NA,NA,NA,0,,,
73,5/19/15,9:15:04 AM,Mitchell,1/1/99,Male,Sniff,Ground again; sp and Hawkins,,AdLib,"0.489449,30.434434",NA,NA,NA,1,NA,1,,0.489449,30.434434
74,5/19/15,10:35:32,Mitchell,1/1/99,Male,Sniff,"0.485651,30.434699. For the sniff",,Focal,"0.485651,30.434699",NA,NA,NA,1,NA,1,,0.485651,30.434699
75,5/24/15,10:02:13,Evans,1/1/96,Male,Sniff,Ground walking alone by c.25/10.5,,Focal,,1,NA,NA,1,NA,0,,,
76,6/4/15,12:02:07,Abrams,12/1/99,Male,Sniff,Ground; not in party z,"Halle,",Focal,,1,NA,NA,NA,NA,0,,,
77,6/5/15,9:26:28,Lovano,12/1/99,Male,Sniff,"Ground; in party; 0.497081,30.417416",,Focal,"0.494561,30.412133",0,NA,NA,NA,NA,1,,0.494561,30.412133
78,6/16/15,9:09:08,Porkpie,1/1/94,Male,Sniff,"Ground; in small party but 20+m away; 0.497121,30.406985",,Focal,"0.497121,30.406985",0,NA,NA,NA,NA,1,,0.497121,30.406985
79,6/24/15,1:53:22 PM,Benny,6/1/00,Male,Sniff,Party of westerns moving north (where centralers a were yeatetday),,AdLib,"0.498129,30.414933",0,NA,NA,NA,NA,1,,0.498129,30.414933
80,6/26/15,18:26:13,Django,1/1/97,Male,Sniff,"Ground; in party( 0.499077,30.417072","Sutherland,",Focal,,0,NA,NA,NA,NA,0,,,
81,6/28/15,10:53:29,Buckner,1/1/00,Male,Sniff,"Ground; i. Party but no one visible and all quiet ;0.494755,30.399844",,Focal,"0.494755,30.399844",0,NA,NA,NA,NA,1,,0.494755,30.399844
82,6/29/15,8:13:06,Mitchell,1/1/99,Male,Sniff,"Ground; 0.500768,30.417633 with mulligan Hawkins and southpaw",,Focal,"0.500768,30.417633",0,NA,NA,NA,NA,1,,0.500768,30.417633
83,7/9/15,4:50:40 PM,Benny,6/1/00,Male,Sniff,With while party of westerners on patrol??,,AdLib,"0.512083,30.395233",0,1,NA,1,NA,1,,0.512083,30.395233
84,7/15/15,8:13:21,Mitchell,1/1/99,Male,Sniff,"Ground; 0.486533,30.435919",,Focal,"0.486533,30.435919",NA,NA,NA,NA,NA,1,,0.486533,30.435919
85,7/15/15,8:17:19,Mitchell,1/1/99,Male,Sniff,"Ground; 0.485848,30.435873",,Focal,"0.485848,30.435873",NA,NA,NA,NA,NA,1,,0.485848,30.435873
86,7/15/15,1:20:57 PM,Mitchell,1/1/99,Male,Sniff,With Basie Hawkins Morton Lucy (mulligan Dexter and others around somewhere ),,AdLib,"0.480753,30.431510",0,NA,NA,NA,NA,1,,0.480753,30.43151
87,7/26/15,4:20:01 PM,Benny,6/1/00,Male,Sniff,7.5 closer to z than t.5; alone ; party to west,,AdLib,"0.487759,30.390453",0,NA,NA,NA,NA,1,,0.487759,30.390453
88,7/28/15,13:18:26,Evans,1/1/96,Male,Sniff,"Ground; 0.498525,30.411458",,Focal,"0.498525,30.411458",NA,NA,NA,NA,NA,1,,0.498525,30.411458
89,7/30/15,9:55:15 AM,Rollins,1/1/86,Male,Sniff,Between 7.5 and 6.5 near t.5,,AdLib,,NA,NA,NA,1,NA,0,,,
90,8/14/15,7:31:21,Wes,6/1/97,Male,Sniff,"Not in party; 0.494411,30.410279 for first sniff",,Focal,"0.494411,30.410279",1,NA,NA,1,NA,1,,0.494411,30.410279
91,8/14/15,7:31:47,Wes,6/1/97,Male,Sniff,,,Focal,,NA,NA,NA,NA,NA,0,,,
92,8/14/15,7:32:09,Wes,6/1/97,Male,Sniff,"0.493833,30.410488 third sniff",,Focal,"0.493833,30.410488",NA,NA,NA,NA,NA,1,,0.493833,30.410488
93,8/14/15,7:51:02,Wes,6/1/97,Male,Sniff,"0.493271,30.410461 (7:54 ""Two sniffs ago: "")",,Focal,"0.493271,30.410461",NA,NA,NA,1,NA,1,,0.493271,30.410461
94,8/14/15,7:51:22,Wes,6/1/97,Male,Sniff,"0.492941,30.410478",,Focal,"0.492941,30.410478",NA,NA,NA,NA,NA,1,,0.492941,30.410478
95,8/19/15,12:23:15 PM,Morton,1/1/84,Male,Sniff,Old feces/urine with Morton and Hester (Hester didn't sniff it),,AdLib,"0.479764,30.427256",0,NA,NA,1,NA,1,,0.479764,30.427256
96,8/19/15,12:23:32 PM,Ornette,1/1/77,Male,Sniff,Old feces/urine; with Morton and Hester (Hester didn't sniff it),,AdLib,"0.479764,30.427256",0,NA,NA,1,NA,1,,0.479764,30.427256
97,8/19/15,4:00:35 PM,Erroll,1/1/02,Male,Sniff,,,AdLib,"0.475185,30.427997",NA,NA,NA,NA,NA,1,,0.475185,30.427997
98,8/24/15,4:22:49 PM,Evans,1/1/96,Male,Sniff,A cut stem; old cut by panga probably trail cutter but stem recently bent (by chimps just now?,,AdLib,"0.510069,30.435480",NA,NA,NA,1,NA,1,,0.510069,30.43548
99,8/24/15,5:57:24 PM,Evans,1/1/96,Male,Sniff,Where's party? Dizzy ahead,,AdLib,"0.515071,30.430265",0,NA,NA,1,NA,1,,0.515071,30.430265
100,8/25/15,3:02:07 PM,Wilson,12/1/99,Male,Sniff,Ground ( monk had walked ahead),,AdLib,"0.480686,30.427558",0,NA,NA,1,NA,1,,0.480686,30.427558
101,10/30/17,18:01:59,Peterson,1/1/95,Male,Sniff,Leaf,,Focal,,NA,NA,NA,1,NA,0,,,
102,10/31/17,7:51:08 AM,Erroll,1/1/02,Male,Sniff,With Wilson orff bartok and fleck buy Wilson keeps pant hooting,,AdLib,"0.496052,30.419491",0,NA,1,NA,NA,1,,0.496052,30.419491
103,10/31/17,10:20:16,Hicks,1/1/97,Male,Sniff,,"Merrill,",Focal,,0,NA,NA,NA,NA,0,,,
104,11/1/17,12:09:24 PM,Fleck,6/1/06,Male,Sniff,Amidst party resting ; Amelia with infant had just walked by with monk,,AdLib,"0.504501,30.424847",0,NA,NA,NA,NA,1,,0.504501,30.424847
105,11/4/17,12:56:36,Wes,6/1/97,Male,Sniff,As with previous,,Focal,,0,NA,NA,NA,NA,0,,,
106,11/4/17,12:57:04 PM,Wes,6/1/97,Male,Sniff,Leaving tree with small party,,AdLib,"0.502680,30.397230",0,NA,NA,NA,NA,1,,0.50268,30.39723
107,11/6/17,14:49:09,Cannonball,7/30/07,Male,Sniff,Ground,,Focal,,1,NA,NA,NA,NA,0,,,
108,11/29/17,12:18:26,Django,1/1/97,Male,Sniff,"Ground; in party with just bartok who went ahead ; 0.496265,30.423559",,Focal,"0.496265,30.423559",0,NA,NA,NA,NA,1,,0.496265,30.423559
109,12/1/17,16:42:53,Django,1/1/97,Male,Sniff,"0.493651,30.425112 ground",,Focal,"0.493651,30.425112",NA,NA,NA,NA,NA,1,,0.493651,30.425112
110,12/5/17,9:25:52,Wilson,12/1/99,Male,Sniff,Monodora,,Focal,,NA,NA,NA,1,NA,0,,,
